Model 1,Model 2,Model 3,Ensemble,Ensemble2,Model _de,Model _s
0.9342403628117913,0.9478458049886621,0.953514739229025,0.9410430839002267,0.9603174603174603,0.9557823129251701,0.9285714285714286
0.8832199546485261,0.8752834467120182,0.9297052154195011,0.8775510204081634,0.95578231292517,0.9126984126984127,0.8900226757369615
0.8820861678004536,0.8934240362811792,0.9047619047619048,0.8888888888888888,0.929705215419501,0.8696145124716553,0.9149659863945578
0.9263038548752834,0.9002267573696145,0.9206349206349206,0.917233560090703,0.953514739229025,0.9070294784580499,0.9251700680272109
0.8752834467120182,0.9058956916099773,0.9036281179138321,0.888888888888889,0.9387755102040817,0.8469387755102041,0.891156462585034
0.9399092970521542,0.891156462585034,0.9160997732426305,0.9081632653061225,0.9501133786848073,0.9217687074829932,0.8605442176870749
0.9523809523809524,0.9195011337868481,0.9058956916099773,0.9126984126984127,0.971655328798186,0.8934240362811792,0.844671201814059
0.9399092970521542,0.9433106575963719,0.9013605442176871,0.9274376417233561,0.9501133786848073,0.9172335600907029,0.9444444444444444
0.8990929705215419,0.899092970521542,0.8990929705215419,0.899092970521542,0.9421768707482994,0.8934240362811792,0.888888888888889
0.9024943310657597,0.9160997732426305,0.8458049886621315,0.8934240362811793,0.9569160997732425,0.8888888888888888,0.9036281179138322
