Model 1,Model 2,Model 3,Ensemble,Ensemble2,Model _de,Model _s
0.9772727272727273,0.9756818181818182,0.9713636363636364,0.9839772727272728,0.9744318181818181,0.9776136363636363,0.9815909090909092
0.9706818181818182,0.9744318181818182,0.9739772727272729,0.9813636363636363,0.9730681818181818,0.9751136363636363,0.9620454545454545
0.9734090909090909,0.9521590909090909,0.9798863636363635,0.980909090909091,0.9584090909090909,0.9764772727272727,0.9772727272727273
0.9779545454545455,0.9748863636363636,0.9689772727272727,0.9805681818181817,0.9617045454545454,0.9764772727272727,0.9793181818181818
0.9435227272727272,0.9798863636363636,0.98625,0.9831818181818182,0.9411363636363637,0.9770454545454546,0.9779545454545455
0.9814772727272727,0.9786363636363636,0.9619318181818183,0.9848863636363636,0.9615909090909092,0.9723863636363637,0.9801136363636365
0.9772727272727273,0.9761363636363637,0.9792045454545455,0.9811363636363636,0.97,0.9743181818181817,0.9772727272727273
0.9769318181818182,0.9854545454545455,0.9629545454545455,0.9853409090909091,0.9557954545454544,0.9760227272727273,0.9861363636363636
0.9731818181818181,0.9855681818181818,0.9765909090909091,0.9862500000000001,0.9668181818181818,0.9735227272727273,0.9746590909090909
0.9817045454545454,0.9855681818181818,0.9695454545454546,0.9860227272727273,0.9655681818181818,0.9781818181818183,0.9627272727272728
