Model 1,Model 2,Model 3,Ensemble,Ensemble2,Model _de,Model _s
0.7928796808953981,0.8001205572423647,0.800407066738108,0.8001317199499911,0.8178692623682802,0.8060591176995893,0.8026582127760911
0.8052367982377806,0.8001205572423649,0.8050247067928796,0.8031419301065668,0.807100970411383,0.7950973388105019,0.7975791808060964
0.801210781687206,0.803986574983628,0.7911048103828064,0.8018507769244508,0.7943568792046198,0.8105018753348814,0.7988703339882122
0.8009317139965471,0.7996480026195154,0.8033205334285884,0.8008721795558731,0.7992275406322558,0.7846974162052748,0.7874880931118653
0.8090953741739596,0.7991568434839554,0.8070786449961302,0.8051549383818539,0.8130916235041972,0.80688515806394,0.8012851997380483
0.8012479907126273,0.7991307971661608,0.7999605584330536,0.8000238137762696,0.7999642793355957,0.8034023932845151,0.7881876227897839
0.8017205453354765,0.800343811394892,0.8013038042507591,0.8010693873906054,0.7929280526284455,0.8032721616955408,0.7999680002381377
0.8082284038816455,0.8014451985473596,0.80269170089897,0.8049279633267845,0.8077856164791332,0.7900220277430494,0.8044591296064774
0.7933931654462105,0.8057874918140144,0.8063381853902483,0.8009168303863785,0.809474906233256,0.8052367982377806,0.8018619396320772
0.79948056200512,0.8098730428052628,0.8013670595939753,0.8056163302970769,0.8102674584747276,0.8120609335000298,0.8012256652973746
